Date,Open,High,Low,Close,Adjusted Close,Volume
2024-12-06,352.38,389.49,348.2,389.22,389.22,349923951
2024-11-29,252.043,361.93,238.88,345.16,345.16,2091913770
2024-10-31,262.67,273.536,212.11,249.85,249.85,1910960826
2024-09-30,215.26,264.86,209.64,261.63,261.63,1611006644
2024-08-30,227.69,231.867,182.0,214.11,214.11,1618373088
2024-07-31,201.02,271.0,200.85,232.07,232.07,2946645956
2024-06-28,178.13,203.2,167.41,197.88,197.88,1407037303
2024-05-31,182.0,187.56,167.75,178.08,178.08,1668285761
2024-04-30,176.17,198.87,138.8025,183.28,183.28,2469782990
2024-03-28,200.52,204.52,160.51,175.79,175.79,1896180214
2024-02-29,188.5,205.6,175.01,201.88,201.88,2020188307
2024-01-31,250.08,251.25,180.06,187.29,187.29,2333525855
2023-12-29,233.14,265.13,228.2,248.48,248.48,2293889902
2023-11-30,204.04,252.75,197.85,240.08,240.08,2652010569
2023-10-31,244.81,268.94,194.07,200.84,200.84,2591243998
2023-09-29,257.26,278.98,234.58,250.22,250.22,2440633653
2023-08-31,266.26,266.47,212.36,258.08,258.08,2503253508
2023-07-31,276.49,299.29,254.12,267.43,267.43,2394275082
2023-06-30,202.59,276.99,199.37,261.77,261.77,3443091887
2023-05-31,163.17,204.48,158.83,203.93,203.93,2681250964
2023-04-28,199.91,202.6897,152.37,164.31,164.31,2503574179
2023-03-31,206.21,207.79,163.91,207.46,207.46,3312555115
2023-02-28,173.89,217.65,169.93,205.71,205.71,3625947459
2023-01-31,118.47,180.68,101.81,173.22,173.22,3897499392
2022-12-30,197.08,198.92,108.24,123.18,123.18,2944247785
2022-11-30,234.05,237.3951,166.185,194.7,194.7,1885408367
2022-10-31,254.5,257.5,198.5863,227.54,227.54,1735577735
2022-09-30,272.575,313.8,262.47,265.25,265.25,1298711227
2022-08-31,903.825,944.0,271.81,275.61,275.61,734431591
2022-07-29,681.0,894.96,648.5001,891.45,297.15,581783311
2022-06-30,755.16,792.63,626.08,673.42,224.4733,670825779
2022-05-31,860.77,955.5,620.57,758.26,252.7533,649232242
2022-04-29,1081.15,1152.87,821.7,870.76,290.2533,503896960
2022-03-31,869.68,1114.77,756.04,1077.6,359.2,575182495
2022-02-28,935.21,947.77,700.0,870.43,290.1433,463455422
2022-01-31,1147.75,1208.0,792.01,936.72,312.24,638395647
2021-12-31,1160.695,1172.8399,886.12,1056.78,352.26,510209746
2021-11-30,1145.0,1243.49,978.6,1144.76,381.5867,646639435
2021-10-29,778.4,1115.21,763.59,1114.0,371.3333,528934537
2021-09-30,734.08,799.0,708.85,775.48,258.4933,390215611
2021-08-31,700.0,740.39,648.84,735.72,245.24,381913604
2021-07-30,683.92,700.0,620.46,687.2,229.0667,447786560
2021-06-30,627.8,697.62,571.22,679.7,226.5667,519623430
2021-05-28,703.8,706.0,546.98,625.22,208.4067,625175872
2021-04-30,688.37,780.79,659.42,709.44,236.48,678583808
2021-03-31,690.11,721.11,539.49,667.93,222.6433,941564582
2021-02-26,814.29,880.5,619.0,675.5,225.1667,518874413
2021-01-29,719.46,900.4,717.1895,793.53,264.51,705739179
2020-12-31,597.59,718.72,541.21,705.67,235.2233,1194948499
2020-11-30,394.0,607.8,392.3,567.6,189.2,781153824
2020-10-30,440.76,465.9,379.11,388.04,129.3467,833908217
2020-09-30,502.14,502.49,329.88,429.01,143.0033,1736952445
2020-08-31,1449.2,2318.49,440.11,498.32,166.1067,403528354
2020-07-31,1083.0,1794.99,1080.5,1430.76,95.384,378234408
2020-06-30,858.0,1087.69,854.1,1079.81,71.9873,255918459
2020-05-29,755.0,843.29,683.04,835.0,55.6667,272775593
2020-04-30,504.0,869.82,446.4,781.88,52.1253,381562411
2020-03-31,711.26,806.98,350.51,524.0,34.9333,420906139
2020-02-28,673.69,968.99,611.52,667.99,44.5327,473506012
2020-01-31,424.5,653.0,421.71,650.57,43.3713,407621638
2019-12-31,329.4,435.31,327.25,418.33,27.8887,207390450
2019-11-29,316.32,361.2,309.26,329.94,21.996,157892383
2019-10-31,241.5,340.84,224.28,314.92,20.9947,234866048
